CAD CDW ID,Event Clearance Group,Event Clearance SubGroup,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Hundred Block Location,District/Sector,Event Clearance Date,Zone/Beat,Census Tract,Longitude,Latitude
16011,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246792,2010246792,460,TRAFFIC (MOVING) VIOLATION,43XX BLOCK OF SW HUDSON ST,W,07/18/2010 01:05:00 AM,W2,10500.6015,-122.387775878,47.557506521
16023,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246765,2010246765,460,TRAFFIC (MOVING) VIOLATION,1XX BLOCK OF BELMONT AVE E,E,07/18/2010 12:44:00 AM,E1,7400.3003,-122.324008036,47.619074816
16030,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246902,2010246902,460,TRAFFIC (MOVING) VIOLATION,1XX BLOCK OF TAYLOR AVE N,D,07/18/2010 02:58:00 AM,D1,7200.1050,-122.346311227,47.619150256
16036,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246943,2010246943,460,TRAFFIC (MOVING) VIOLATION,90XX BLOCK OF 35TH AVE SW,F,07/18/2010 03:08:00 AM,F2,11500.3013,-122.376730716,47.521965551
16039,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246930,2010246930,460,TRAFFIC (MOVING) VIOLATION,41XX BLOCK OF SW ORCHARD ST,W,07/18/2010 03:10:00 AM,W3,11600.1000,-122.386879788,47.538884201
16054,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246687,2010246687,450,DRIVING WHILE UNDER INFLUENCE (DUI),36XX BLOCK OF PHINNEY AVE N,J,07/18/2010 04:00:00 AM,J2,4800.3043,-122.354470259,47.653198966
16061,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000246102,2010246102,430,ACCIDENT INVESTIGATION,42XX BLOCK OF 34TH AVE S,R,07/18/2010 04:04:00 AM,R1,10100.4007,-122.290366642,47.563735407
16064,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000246883,2010246883,430,ACCIDENT INVESTIGATION,XX BLOCK OF NW LEARY WAY,J,07/18/2010 02:42:00 AM,J2,4700.4023,-122.376221883,47.663663715
16085,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000246643,2010246643,430,ACCIDENT INVESTIGATION,13XX BLOCK OF E JEFFERSON ST,E,07/18/2010 01:17:00 AM,E3,8600.1017,-122.314818037,47.606194716
16094,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246926,2010246926,460,TRAFFIC (MOVING) VIOLATION,16XX BLOCK OF SW ROXBURY ST,F,07/18/2010 02:59:00 AM,F2,11400.4016,-122.355837853,47.517360843
16112,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000246887,2010246887,430,ACCIDENT INVESTIGATION,2XX BLOCK OF 5TH AVE N,D,07/18/2010 03:38:00 AM,D1,7200.1053,-122.347606813,47.62022747
16134,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246973,2010246973,460,TRAFFIC (MOVING) VIOLATION,109XX BLOCK OF AURORA AVE N,N,07/18/2010 03:58:00 AM,N1,600.4008,-122.344760034,47.709059717
16178,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000246972,2010246972,430,ACCIDENT INVESTIGATION,30XX BLOCK OF SW AVALON WAY,W,07/18/2010 07:27:00 AM,W2,9900.3007,-122.371671487,47.566137244
16206,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246779,2010246779,450,DRIVING WHILE UNDER INFLUENCE (DUI),58XX BLOCK OF E GREEN LAKE WAY N,J,07/18/2010 06:51:00 AM,J1,4600.1006,-122.336636654,47.672965412
16212,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000246583,2010246583,430,ACCIDENT INVESTIGATION,XX BLOCK OF MARTIN LUTHER KING JR WAY S,S,07/18/2010 04:57:00 AM,S1,11000.1011,-122.281736013,47.537963086
16213,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247009,2010247009,460,TRAFFIC (MOVING) VIOLATION,6XX BLOCK OF S JACKSON ST,K,07/18/2010 05:00:00 AM,K2,9200.1005,-122.325707866,47.599191758
16235,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247041,2010247041,460,TRAFFIC (MOVING) VIOLATION,8XX BLOCK OF E PINE ST,C,07/18/2010 05:53:00 AM,C2,8400.1000,-122.321464282,47.615230696
16246,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247153,2010247153,430,ACCIDENT INVESTIGATION,127XX BLOCK OF 15TH AVE NE,L,07/18/2010 11:16:00 AM,L1,200.7006,-122.312666565,47.722126802
16247,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247072,2010247072,430,ACCIDENT INVESTIGATION,135XX BLOCK OF LINDEN AVE N,N,07/18/2010 11:28:00 AM,N1,401.1014,-122.347719011,47.727315717
16262,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247105,2010247105,460,TRAFFIC (MOVING) VIOLATION,35XX BLOCK OF S MORGAN ST,S,07/18/2010 09:34:00 AM,S1,11000.1008,-122.286350589,47.544286901
16275,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247156,2010247156,460,TRAFFIC (MOVING) VIOLATION,17XX BLOCK OF S COLUMBIAN WAY,R,07/18/2010 10:40:00 AM,R2,10000.2000,-122.306706363,47.560234668
16277,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247165,2010247165,460,TRAFFIC (MOVING) VIOLATION,17XX BLOCK OF S COLUMBIAN WAY,R,07/18/2010 10:54:00 AM,R2,10000.3002,-122.306706363,47.560234668
16279,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247096,2010247096,430,ACCIDENT INVESTIGATION,1XX BLOCK OF VIRGINIA ST,M,07/18/2010 11:01:00 AM,M2,8002.1001,-122.342182557,47.611400659
16286,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247113,2010247113,430,ACCIDENT INVESTIGATION,60XX BLOCK OF 40TH AVE NE,L,07/18/2010 09:07:00 AM,L3,4200.8005,-122.284873503,47.673057516
16294,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247139,2010247139,460,TRAFFIC (MOVING) VIOLATION,14XX BLOCK OF E UNION ST,E,07/18/2010 11:56:00 AM,E2,8600.1000,-122.313473608,47.612914569
16298,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247175,2010247175,460,TRAFFIC (MOVING) VIOLATION,51XX BLOCK OF S HENDERSON ST,S,07/18/2010 12:15:00 PM,S3,11800.6011,-122.268650086,47.523303841
16304,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247230,2010247230,460,TRAFFIC (MOVING) VIOLATION,XX BLOCK OF S BRANDON ST,R,07/18/2010 12:25:00 PM,R2,10400.8014,-122.302727361,47.553775895
16312,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247124,2010247124,460,TRAFFIC (MOVING) VIOLATION,12XX BLOCK OF E JEFFERSON ST,E,07/18/2010 09:39:00 AM,E3,8600.1017,-122.316125603,47.606200257
16316,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247109,2010247109,460,TRAFFIC (MOVING) VIOLATION,8XX BLOCK OF E THOMAS ST,E,07/18/2010 09:51:00 AM,E1,7400.2005,-122.321558262,47.621071106
16323,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247238,2010247238,430,ACCIDENT INVESTIGATION,61XX BLOCK OF SWIFT AVE S,O,07/18/2010 12:33:00 PM,O3,10400.4000,-122.309401747,47.547784077
16326,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247247,2010247247,460,TRAFFIC (MOVING) VIOLATION,1XX BLOCK OF MARTIN LUTHER KING JR WAY S,G,07/18/2010 12:35:00 PM,G3,8900.6003,-122.296813205,47.601256276
16340,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247250,2010247250,460,TRAFFIC (MOVING) VIOLATION,18XX BLOCK OF BROADWAY,E,07/18/2010 12:52:00 PM,E1,7400.4000,-122.320845157,47.618155415
16352,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247298,2010247298,460,TRAFFIC (MOVING) VIOLATION,6XX BLOCK OF S HOLGATE ST,K,07/18/2010 01:19:00 PM,K3,9300.1023,-122.324737678,47.586137948
16354,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247257,2010247257,460,TRAFFIC (MOVING) VIOLATION,30XX BLOCK OF S WALDEN ST,R,07/18/2010 01:47:00 PM,R1,10100.4000,-122.293417759,47.573123586
16357,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247163,2010247163,430,ACCIDENT INVESTIGATION,5XX BLOCK OF SENECA ST,K,07/18/2010 02:15:00 PM,K1,8200.3007,-122.332549619,47.608211513
16366,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247380,2010247380,460,TRAFFIC (MOVING) VIOLATION,58XX BLOCK OF CORSON AVE S,O,07/18/2010 03:06:00 PM,O3,10900.2005,-122.320659232,47.549957476
16367,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247358,2010247358,430,ACCIDENT INVESTIGATION,120XX BLOCK OF ROOSEVELT WAY NE,L,07/18/2010 03:08:00 PM,L2,600.2002,-122.318037083,47.716332992
16369,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247273,2010247273,430,ACCIDENT INVESTIGATION,43XX BLOCK OF 8TH AVE NE,U,07/18/2010 03:18:00 PM,U2,5200.5004,-122.3197773,47.660386561
16375,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247377,2010247377,460,TRAFFIC (MOVING) VIOLATION,6XX BLOCK OF BLANCHARD ST,M,07/18/2010 03:52:00 PM,M2,7200.1055,-122.340485001,47.616262163
16377,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247446,2010247446,460,TRAFFIC (MOVING) VIOLATION,46XX BLOCK OF PHINNEY AVE N,J,07/18/2010 04:07:00 PM,J2,4900.5002,-122.353977262,47.662510468
16385,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247268,2010247268,460,TRAFFIC (MOVING) VIOLATION,5XX BLOCK OF BATTERY ST,M,07/18/2010 01:25:00 PM,M1,7200.2018,-122.343945243,47.617134937
16386,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247312,2010247312,460,TRAFFIC (MOVING) VIOLATION,6XX BLOCK OF S HOLGATE ST,K,07/18/2010 01:40:00 PM,K3,9300.1023,-122.324737678,47.586137948
16394,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247261,2010247261,430,ACCIDENT INVESTIGATION,XX BLOCK OF VINE ST,M,07/18/2010 03:53:00 PM,M1,8001.3017,-122.350971584,47.614252513
16401,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247311,2010247311,460,TRAFFIC (MOVING) VIOLATION,9XX BLOCK OF ALOHA ST,D,07/18/2010 01:56:00 PM,D1,6700.1009,-122.339708605,47.627424837
16402,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247342,2010247342,430,ACCIDENT INVESTIGATION,36XX BLOCK OF DISCOVERY PARK BLVD,Q,07/18/2010 02:20:00 PM,Q1,5700.1012,-122.404612874,47.658324899
16405,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247259,2010247259,430,ACCIDENT INVESTIGATION,20XX BLOCK OF NE 135TH ST,L,07/18/2010 02:36:00 PM,L1,200.4010,-122.306605051,47.726597902
16410,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247376,2010247376,460,TRAFFIC (MOVING) VIOLATION,28XX BLOCK OF SW RAYMOND ST,F,07/18/2010 03:00:00 PM,F1,10700.4000,-122.369580768,47.547827103
16428,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247293,2010247293,460,TRAFFIC (MOVING) VIOLATION,6XX BLOCK OF S HOLGATE ST,K,07/18/2010 01:13:00 PM,K3,9300.1023,-122.324737678,47.586137948
16430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247111,2010247111,430,ACCIDENT INVESTIGATION,14XX BLOCK OF 31ST AVE S,G,07/18/2010 01:32:00 PM,G3,9500.1015,-122.292415529,47.589876939
16431,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247149,2010247149,430,ACCIDENT INVESTIGATION,27XX BLOCK OF S DEARBORN ST,G,07/18/2010 01:34:00 PM,G3,8900.4000,-122.297004988,47.595519236
16440,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247379,2010247379,460,TRAFFIC (MOVING) VIOLATION,7XX BLOCK OF S SPOKANE ST,O,07/18/2010 03:11:00 PM,O2,9300.3062,-122.323438013,47.571400985
16446,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247440,2010247440,460,TRAFFIC (MOVING) VIOLATION,14XX BLOCK OF 11TH AVE,E,07/18/2010 04:19:00 PM,E2,7500.4011,-122.318131664,47.613512843
16447,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247266,2010247266,460,TRAFFIC (MOVING) VIOLATION,3XX BLOCK OF TERRY AVE N,D,07/18/2010 12:56:00 PM,D2,7300.3011,-122.337156293,47.621452716
16448,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247177,2010247177,430,ACCIDENT INVESTIGATION,XX BLOCK OF HARRISON ST,Q,07/18/2010 12:57:00 PM,Q3,7100.2008,-122.356076731,47.622105776
16450,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247304,2010247304,460,TRAFFIC (MOVING) VIOLATION,6XX BLOCK OF S HOLGATE ST,K,07/18/2010 01:31:00 PM,K3,9300.1023,-122.324737678,47.586137948
16451,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247302,2010247302,460,TRAFFIC (MOVING) VIOLATION,17XX BLOCK OF S HORTON ST,O,07/18/2010 01:44:00 PM,O1,10000.7013,-122.309223896,47.574048321
16454,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247323,2010247323,430,ACCIDENT INVESTIGATION,13XX BLOCK OF 4TH AVE,K,07/18/2010 02:17:00 PM,K1,8100.2009,-122.335320783,47.608724516
16471,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247631,2010247631,460,TRAFFIC (MOVING) VIOLATION,14XX BLOCK OF ALKI AVE SW,W,07/18/2010 08:00:00 PM,W1,9600.5001,-122.394126342,47.589502704
16481,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247675,2010247675,460,TRAFFIC (MOVING) VIOLATION,44XX BLOCK OF S BRANDON ST,R,07/18/2010 08:16:00 PM,R3,10300.1015,-122.278090046,47.553397108
16485,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247679,2010247679,460,TRAFFIC (MOVING) VIOLATION,5XX BLOCK OF PIKE ST,K,07/18/2010 08:21:00 PM,K1,8200.1004,-122.335017881,47.610909012
16490,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247533,2010247533,460,TRAFFIC (MOVING) VIOLATION,9XX BLOCK OF BROAD ST,D,07/18/2010 06:02:00 PM,D1,7200.1000,-122.339184822,47.625594477
16493,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247359,2010247359,430,ACCIDENT INVESTIGATION,23XX BLOCK OF NW MARKET ST,J,07/18/2010 07:48:00 PM,J2,4700.5012,-122.386972269,47.668680548
16495,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247475,2010247475,460,TRAFFIC (MOVING) VIOLATION,3XX BLOCK OF NE NORTHGATE WAY,N,07/18/2010 04:44:00 PM,N3,1200.4005,-122.324615153,47.708602801
16510,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247529,2010247529,460,TRAFFIC (MOVING) VIOLATION,26XX BLOCK OF 1ST AVE,M,07/18/2010 05:38:00 PM,M1,8001.1007,-122.350148926,47.61552535
16515,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247570,2010247570,460,TRAFFIC (MOVING) VIOLATION,5XX BLOCK OF WESTLAKE AVE N,D,07/18/2010 06:26:00 PM,D2,7300.3003,-122.338440841,47.623880758
16519,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247421,2010247421,430,ACCIDENT INVESTIGATION,6XX BLOCK OF 5TH AVE S,K,07/18/2010 04:37:00 PM,K2,9100.1014,-122.327680653,47.596655376
16538,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247414,2010247414,430,ACCIDENT INVESTIGATION,1XX BLOCK OF CEDAR ST,M,07/18/2010 05:58:00 PM,M1,8001.3002,-122.350186376,47.616134103
16546,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247594,2010247594,460,TRAFFIC (MOVING) VIOLATION,36XX BLOCK OF S ALASKA ST,R,07/18/2010 06:44:00 PM,R2,10300.5004,-122.28735923,47.560748915
16562,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247592,2010247592,460,TRAFFIC (MOVING) VIOLATION,29XX BLOCK OF E MADISON ST,C,07/18/2010 07:29:00 PM,C3,6200.2014,-122.293777276,47.625111557
16568,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247555,2010247555,430,ACCIDENT INVESTIGATION,2XX BLOCK OF 1ST AVE N,Q,07/18/2010 07:38:00 PM,Q3,7100.2014,-122.355438602,47.620351919
16572,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000247467,2010247467,430,ACCIDENT INVESTIGATION,67XX BLOCK OF HIGHLAND PARK WAY SW,F,07/18/2010 04:49:00 PM,F1,11200.2010,-122.339618133,47.540265863
16583,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247565,2010247565,460,TRAFFIC (MOVING) VIOLATION,30XX BLOCK OF S WALDEN ST,R,07/18/2010 06:25:00 PM,R1,10100.4000,-122.293417759,47.573123586
16584,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247559,2010247559,460,TRAFFIC (MOVING) VIOLATION,105XX BLOCK OF AURORA AVE N,N,07/18/2010 06:31:00 PM,N2,1300.4001,-122.344706419,47.705798569
16587,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000247504,2010247504,460,TRAFFIC (MOVING) VIOLATION,28XX BLOCK OF SW BARTON ST,F,07/18/2010 07:22:00 PM,F2,11400.3007,-122.36934938,47.521036639
